ITERATION,N_LEVELS,TOTAL_AREA,EXT_WALL_M2,INT_WALLS_M2,VOL_BLD,N_DOORS,VOL_BBOX,TYPOLOGY,N_APARTMENTS,SLABS_M2,EXT_SLABS_M2,INT_SLABS_M2,ROOFS_M2
IT_40_TYP_1,7.0,4896.0,5913.2,6566.6,14688.0,141.0,27027.0,1.0,141.0,5877.0,981.0,3915.0,981.0
IT_41_TYP_1,7.0,3933.0,5720.2,5335.5,11799.0,100.0,20412.0,1.0,100.0,4689.0,756.0,3177.0,756.0
IT_42_TYP_1,6.0,3447.0,4705.6,4863.7,10341.0,83.0,15552.0,1.0,83.0,4203.0,756.0,2691.0,756.0
IT_43_TYP_1,6.0,2943.0,4771.0,3897.7,8829.0,72.0,13608.0,1.0,72.0,3573.0,630.0,2313.0,630.0
IT_44_TYP_3,8.0,15039.0,17067.0,20774.3,45117.0,394.0,69768.0,3.0,394.0,17937.0,2898.0,12141.0,2898.0
IT_45_TYP_3,8.0,17460.0,15142.7,33771.5,52380.0,736.0,69768.0,3.0,736.0,20376.0,2916.0,14544.0,2916.0
IT_46_TYP_3,8.0,18171.0,15668.8,38715.9,54513.0,1083.0,69768.0,3.0,1083.0,21078.0,2907.0,15264.0,2907.0
IT_47_TYP_3,8.0,18801.0,15916.8,42636.8,56403.0,1382.0,69768.0,3.0,1382.0,21672.0,2871.0,15930.0,2871.0
IT_48_TYP_2,9.0,20034.0,13655.1,47020.0,60102.0,1639.0,69768.0,2.0,1639.0,22995.0,2961.0,17073.0,2961.0
IT_49_TYP_2,9.0,20214.0,13680.5,49730.1,60642.0,1902.0,69768.0,2.0,1902.0,23139.0,2925.0,17289.0,2925.0
IT_50_TYP_1,8.0,20241.0,13709.9,51131.7,60723.0,2062.0,69768.0,1.0,2062.0,23157.0,2916.0,17325.0,2916.0
IT_51_TYP_1,7.0,20241.0,14222.2,52088.0,60723.0,2179.0,69768.0,1.0,2179.0,23157.0,2916.0,17325.0,2916.0
IT_52_TYP_1,6.0,3555.0,5533.6,4992.4,10665.0,81.0,16848.0,1.0,81.0,4311.0,756.0,2799.0,756.0
IT_55_TYP_3,10.0,15804.0,18021.0,21921.9,47412.0,417.0,73872.0,3.0,417.0,18846.0,3042.0,12762.0,3042.0
IT_56_TYP_3,10.0,18036.0,18054.7,34324.7,54108.0,812.0,73872.0,3.0,812.0,20997.0,2961.0,15075.0,2961.0
IT_57_TYP_3,9.0,18252.0,20188.7,38253.2,54756.0,1211.0,73872.0,3.0,1211.0,21168.0,2916.0,15336.0,2916.0
IT_58_TYP_3,8.0,19242.0,18380.5,45160.1,57726.0,1584.0,73872.0,3.0,1584.0,22131.0,2889.0,16353.0,2889.0
IT_59_TYP_3,7.0,20871.0,18353.5,50541.5,62613.0,1868.0,73872.0,3.0,1868.0,23931.0,3060.0,17811.0,3060.0
